Qty,Value,Device,Package,Parts,DKPN,Min Order #,Order #
7,0,R0603,R0603,"R4,R6,R7,R8,R9,R14,R18",541-2779-1-ND,35,50
10,0.1u,C0603,C0603,"C2,C3,C4,C5,C6,C11,C13,C17,C18,C21",490-1519-1-ND,50,100
2,0.22u,C0603,C0603,"C1,C20",490-8017-1-ND,10,50
8,100k,R0603,R0603,"R2,R3,R12,R13,R16,R17,R43,R44",RHM100KDCT-ND,40,100
4,100p,C0603,C0603,"C8,C9,C10,C22",490-4767-1-ND,20,50
1,100u,C-POL3.5MM,CPOL-3.5MM,C12,493-10432-1-ND,5,10
8,10k,R0603,R0603,"R5,R25,R26,R32,R33,R34,R41,R46",RHM10KDCT-ND,40,100
2,10u,C0603,C0603,"C7,C14",490-7202-1-ND,10,10
1,121,R0603,R0603,R27,311-121HRCT-ND,5,100
1,1k,R0603,R0603,R35,RHM1.0KDCT-ND,5,25
6,200,R0603,R0603,"R19,R21,R23,R28,F36,R47",RHM200DCT-ND,30,50
4,47k,R0603,R0603,"R20,R22,R24,R48",RHM47KDCT-ND,20,25
4,576k,R0603,R0603,"R1,R11,R15,R42",311-576KHRCT-ND,20,100
1,A3909,A3909,SSOP10,U8,620-1498-1-ND,5,5
1,LD1085CDT-R,LD1085CDT-R,TO252,U6,497-3418-1-ND,5,5
1,LED,LED,L0805,D2,475-1410-1-ND,5,10
1,LED,LED,L0805,D1,475-1415-1-ND,5,10
2,LM293DT,LM293DT,SOIC8,"U1,U2",497-1566-1-ND,10,10
0,NC,NC,NC_TH,"Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z9,Z15,Z17",N/A,0,
1,NMOS-RUC002N05,NMOS-RUC002N05,SOT23,Q1,RUC002N05T116CT-ND,5,10
1,PMOS-FQD7P06TM,PMOS-FQD7P06TM,TO252,Q7,FQD7P06TMCT-ND,5,5
4,QRE1113GR,QRE1113GR,REFL,"U3,U4,U5,U10",QRE1113GRCT-ND,20,25
1,RECT_1X10,RECT_1X10,RECT_1X10_0.1,P4,S1011EC-10-ND,5,5
1,RECT_1X6,RECT_1X6,RECT_1X6_0.1,P2,S1011EC-06-ND,5,5
2,RECT_1X8,RECT_1X8,RECT_1X8_0.1,"P1,P3",S1011EC-08-ND,10,10
2,TERM_1X2_0.1,TERM_1X2_0.1,TERM_1X2_0.1,"J1,J3",ED10561-ND,10,10
1,TERM_1X4_0.1,TERM_1X4_0.1,TERM_1X4_0.1,J4,ED10563-ND,5,5
1,TERM_1X6_0.1,TERM_1X6_0.1,TERM_1X6_0.1,J2,ED10565-ND,5,
